frame,timestamp,type,name,x_norm,y_norm,z_norm,visibility,x_px,y_px,dx_px,dy_px,distance_px,speed_px_per_sec,angle_deg
3,0.1250,keypoint,right_hip,0.485121,0.733669,0.010973,0.998845,196,528,0,0,0.0000,0.0000,
3,0.1250,keypoint,left_knee,0.578587,0.855520,-0.084545,0.988756,234,615,0,0,0.0000,0.0000,
3,0.1250,keypoint,right_knee,0.501807,0.858559,-0.031991,0.979118,203,618,0,0,0.0000,0.0000,
3,0.1250,keypoint,left_ankle,0.582420,0.952850,0.234077,0.970541,236,686,0,0,0.0000,0.0000,
3,0.1250,keypoint,right_ankle,0.517197,0.953848,0.242995,0.950485,209,686,-1,2,2.2361,53.6656,
3,0.1250,angle,left_elbow,,,,,,,,,,,84.2722
3,0.1250,angle,right_elbow,,,,,,,,,,,25.8502
3,0.1250,angle,left_knee,,,,,,,,,,,178.3865
3,0.1250,angle,right_knee,,,,,,,,,,,179.4049
4,0.1667,keypoint,nose,0.535920,0.532778,-0.177781,0.998585,217,383,1,0,1.0000,24.0000,
4,0.1667,keypoint,left_shoulder,0.598363,0.586541,0.098445,0.999783,242,422,0,0,0.0000,0.0000,
4,0.1667,keypoint,right_shoulder,0.463000,0.580257,0.123883,0.998298,187,417,1,0,1.0000,24.0000,
4,0.1667,keypoint,left_elbow,0.602042,0.662254,0.009591,0.935397,244,476,1,0,1.0000,24.0000,
4,0.1667,keypoint,right_elbow,0.474148,0.637825,-0.065382,0.845068,192,459,2,0,2.0000,48.0000,
4,0.1667,keypoint,left_wrist,0.481635,0.655619,-0.096807,0.825135,195,472,1,0,1.0000,24.0000,
4,0.1667,keypoint,right_wrist,0.510070,0.576008,-0.359669,0.819807,207,414,1,-2,2.2361,53.6656,
4,0.1667,keypoint,left_hip,0.576753,0.730365,-0.007196,0.999262,234,525,0,0,0.0000,0.0000,
4,0.1667,keypoint,right_hip,0.485147,0.733908,0.007571,0.998694,196,528,0,0,0.0000,0.0000,
4,0.1667,keypoint,left_knee,0.578027,0.856004,-0.089914,0.988094,234,616,0,1,1.0000,24.0000,
4,0.1667,keypoint,right_knee,0.501807,0.858640,-0.041678,0.978057,203,618,0,0,0.0000,0.0000,
4,0.1667,keypoint,left_ankle,0.582431,0.953580,0.239722,0.967985,236,686,0,0,0.0000,0.0000,
4,0.1667,keypoint,right_ankle,0.515788,0.955468,0.266611,0.945892,209,687,0,1,1.0000,24.0000,
4,0.1667,angle,left_elbow,,,,,,,,,,,83.2120
4,0.1667,angle,right_elbow,,,,,,,,,,,25.2239
4,0.1667,angle,left_knee,,,,,,,,,,,178.3634
4,0.1667,angle,right_knee,,,,,,,,,,,179.4776
5,0.2083,keypoint,nose,0.541257,0.533107,-0.179849,0.998481,219,383,2,0,2.0000,48.0000,
